date,amount,category,description,paymentMethod,tags
2026-04-20,8000.00,agri_land_lease,Agricultural land lease payment,cheque,"farming, investment"
2026-04-22,2800.00,fuel,Monthly fuel for vehicles,card,"transport, monthly"
2026-04-23,1650.00,household_maintenance,Plumbing repair work,cash,"maintenance, urgent"
2026-04-24,12000.00,investments_savings,Mutual fund SIP,netbanking,"investment, monthly, savings"
2026-04-25,850.00,pets,Pet food and veterinary visit,card,"pets, monthly"
2026-04-26,3500.00,gifting_festivals,Diwali gifts for relatives,card,"festival, family"
2026-04-27,1200.00,fitness_gym,Personal trainer sessions,upi,"health, optional"
2026-03-10,4200.00,agri_crop_insurance,Crop insurance premium,cheque,"farming, insurance, annual"
2026-02-14,2800.00,medical_insurance,Family health insurance renewal,netbanking,"insurance, annual, essential"
2026-01-20,5500.00,agri_loan_interest,Agricultural loan EMI,netbanking,"farming, loan, monthly"
2026-03-22,3200.00,agri_storage_transport,Warehouse storage charges,cash,"farming, quarterly"
2026-02-28,1800.00,agri_other,Farm tools and supplies,cash,"farming, supplies"
2026-01-18,750.00,other,Miscellaneous household expenses,cash,miscellaneous
2026-03-05,4500.00,shopping_electronics,New laptop for work,card,"work, investment"
2026-04-10,650.00,public_transport,Auto rickshaw rides,cash,"transport, daily"
2026-03-28,280.00,coffee_snacks,Office canteen expenses,cash,"work, daily"
2026-02-20,1200.00,entertainment,Concert tickets,upi,"leisure, entertainment"
2026-01-25,3800.00,personal_care,Spa and wellness package,card,"self-care, quarterly"
2026-04-05,850.00,subscriptions,Amazon Prime and Hotstar,card,"entertainment, annual"
2026-02-15,2500.00,gifting_festivals,Valentine's Day celebration,card,"festival, personal"
2026-03-15,1200.00,donations_charity,NGO contribution,netbanking,"charity, social"
2026-01-30,950.00,dine_out,Sunday brunch with family,card,"weekend, family"
2026-04-12,320.00,grocery,Emergency grocery items,cash,"urgent, essential"
2026-03-20,4800.00,vehicle_maintenance,Bike repair and parts,cash,"transport, maintenance"
2026-02-25,680.00,bills_mobile,Data recharge and calls,upi,"bills, monthly"
2026-01-15,15000.00,education,Son's school fees quarterly,cheque,"education, essential, family"
2026-04-20,5200.00,medical_consultation,Specialist consultation and medicines,card,"health, treatment"
2026-03-18,2200.00,fuel,CNG refill for car,card,"transport, eco-friendly"
2026-02-10,1850.00,household_maintenance,Air conditioner servicing,cash,"maintenance, seasonal"
2026-04-25,3500.00,travel_vacation,Hotel booking for weekend trip,card,"leisure, travel"
2026-03-30,12000.00,agri_seeds_fertilizers,Organic fertilizers bulk purchase,cheque,"farming, organic, investment"
2026-01-28,950.00,personal_care,Salon and beauty treatments,upi,"personal, self-care"
2026-04-15,1500.00,insurance_general,Vehicle insurance renewal,netbanking,"insurance, annual, mandatory"
2026-02-18,4200.00,shopping_electronics,Smart TV purchase,card,"home, entertainment"
2026-03-25,850.00,fitness_gym,Yoga classes monthly fee,upi,"health, wellness"
2026-01-22,2800.00,gifting_personal,Anniversary gift for spouse,card,"celebration, family"
2026-04-18,15000.00,other,Home renovation materials,card,"renovation, investment"
2026-03-12,6500.00,agri_equipment,Tractor attachment purchase,cheque,"farming, equipment, investment"
2026-02-22,1200.00,entertainment,Gaming subscription annual,card,"entertainment, gaming"
2026-04-28,1850.00,bills_power,Electricity bill advance payment,netbanking,"bills, monthly"
2026-04-28,950.00,coffee_snacks,Lunch at food court,upi,"daily, convenience"
2026-04-28,5500.00,rent_mortgage,Monthly rent with maintenance,netbanking,"bills, monthly, essential"
